strain	gisaid_epi_isl	submitting_lab	url	author	accession	country_exposure	location														
Netherlands/ZH-EMC-365/2020	EPI_ISL_523705	Erasmus Medical Center		Bas Oude Munnink et al																	
Netherlands/ZH-EMC-361/2020	EPI_ISL_523701	Erasmus Medical Center		Bas Oude Munnink et al																	
Netherlands/ZH-EMC-360/2020	EPI_ISL_523700	Erasmus Medical Center		Bas Oude Munnink et al																	
Palestine/AAS24/2020	EPI_ISL_739659	"Al-Quds Nutrition and Health Research Institute, Al-Quds University"		Nasereddin et al																	
Palestine/WB-AQU-1/2020	EPI_ISL_649153	"Al-Quds Nutrition and Health Research Institute, Al-Quds University"		Nasereddin et al																	
Palestine/WB-AQU-P3/2020	EPI_ISL_661272	"Al-Quds Nutrition and Health Research Institute, Al-Quds University"		Ereqat et al																	
Israel/ISR_NH_M1_0614/2020	EPI_ISL_594155	Israel Institute for Biological Research		Galia Zaide et al																	
Israel/ISR_NH_M2_0614/2020	EPI_ISL_594156	Israel Institute for Biological Research		Galia Zaide et al																	
Israel/CVL5421/2020	EPI_ISL_516917	Israel Central Virology laboratory		Neta Zuckerman et al																	
Palestine/44/2020	EPI_ISL_596527	Molecular Genetics Lab		Nouar Qutob et al																	
Palestine/77/2020	EPI_ISL_596553	Molecular Genetics Lab		Nouar Qutob et al																	
Palestine/78/2020	EPI_ISL_596554	Molecular Genetics Lab		Nouar Qutob et al																	
Palestine/64/2020	EPI_ISL_596542	Molecular Genetics Lab		Nouar Qutob et al																	
Palestine/76/2020	EPI_ISL_596552	Molecular Genetics Lab		Nouar Qutob et al																	
Palestine/89/2020	EPI_ISL_596562	Molecular Genetics Lab		Nouar Qutob et al																	
Palestine/66/2020	EPI_ISL_596543	Molecular Genetics Lab		Nouar Qutob et al																	
Palestine/73/2020	EPI_ISL_596549	Molecular Genetics Lab		Nouar Qutob et al																	
Palestine/69/2020	EPI_ISL_596545	Molecular Genetics Lab		Nouar Qutob et al																	
Palestine/80/2020	EPI_ISL_596556	Molecular Genetics Lab		Nouar Qutob et al																	
Palestine/95/2020	EPI_ISL_596565	Molecular Genetics Lab		Nouar Qutob et al																	
Palestine/68/2020	EPI_ISL_596544	Molecular Genetics Lab		Nouar Qutob et al																	
Palestine/11/2020	EPI_ISL_596501	Molecular Genetics Lab		Nouar Qutob et al																	
Israel/CVL-n25924/2020	EPI_ISL_514279	Israel Central Virology laboratory		Neta Zuckerman et al																	
Palestine/42/2020	EPI_ISL_596525	Molecular Genetics Lab		Nouar Qutob et al																	
Palestine/36/2020	EPI_ISL_596520	Molecular Genetics Lab		Nouar Qutob et al																	
Israel/CVL1610/2020	EPI_ISL_516910	Israel Central Virology laboratory		Neta Zuckerman et al																	
Israel/CVL-n26134/2020	EPI_ISL_514289	Israel Central Virology laboratory		Neta Zuckerman et al																	
Israel/CVL1060/2020	EPI_ISL_516901	Israel Central Virology laboratory		Neta Zuckerman et al																	
Palestine/52/2020	EPI_ISL_596536	Molecular Genetics Lab		Nouar Qutob et al																	
Israel/CVL-n25904/2020	EPI_ISL_514275	Israel Central Virology laboratory		Neta Zuckerman et al																	
Israel/CVL1196/2020	EPI_ISL_516905	Israel Central Virology laboratory		Neta Zuckerman et al																	
Palestine/AAS27/2020	EPI_ISL_739660	"Al-Quds Nutrition and Health Research Institute, Al-Quds University"		Nasereddin et al																	
Palestine/7/2020	EPI_ISL_596555	Molecular Genetics Lab		Nouar Qutob et al																	
Israel/CVL-n26122/2020	EPI_ISL_514287	Israel Central Virology laboratory		Neta Zuckerman et al																	
Palestine/1/2020	EPI_ISL_596507	Molecular Genetics Lab		Nouar Qutob et al																	
Palestine/2/2020	EPI_ISL_596514	Molecular Genetics Lab		Nouar Qutob et al																	
Palestine/AAS26/2020	EPI_ISL_739661	"Al-Quds Nutrition and Health Research Institute, Al-Quds University"		Nasereddin et al																	
Palestine/AAS25/2020	EPI_ISL_752605	"Faculty of Medicine, Al-Quds University"		Ereqat et al																	
Palestine/40/2020	EPI_ISL_596523	Molecular Genetics Lab		Nouar Qutob et al																	
Palestine/55/2020	EPI_ISL_596538	Molecular Genetics Lab		Nouar Qutob et al																	
Palestine/54/2020	EPI_ISL_596537	Molecular Genetics Lab		Nouar Qutob et al																	
Palestine/46/2020	EPI_ISL_596529	Molecular Genetics Lab		Nouar Qutob et al																	
Palestine/51/2020	EPI_ISL_596535	Molecular Genetics Lab		Nouar Qutob et al																	
Palestine/82/2020	EPI_ISL_596557	Molecular Genetics Lab		Nouar Qutob et al																	
Palestine/90/2020	EPI_ISL_596563	Molecular Genetics Lab		Nouar Qutob et al																	
Palestine/86/2020	EPI_ISL_596559	Molecular Genetics Lab		Nouar Qutob et al																	
Palestine/3/2020	EPI_ISL_596522	Molecular Genetics Lab		Nouar Qutob et al																	
Israel/CVL-246ngs/2020	EPI_ISL_889051	Israel National Consortium for SARS-CoV-2 sequencing		Neta Zuckerman et al																	
Palestine/43/2020	EPI_ISL_596526	Molecular Genetics Lab		Nouar Qutob et al																	
Palestine/45/2020	EPI_ISL_596528	Molecular Genetics Lab		Nouar Qutob et al																	
Palestine/AAS16/2020	EPI_ISL_710484	"Department of Medical Laboratory Sciences, Arab American University"		Al-Jawabreh et al																	
Palestine/AAS15/2020	EPI_ISL_710483	"Department of Medical Laboratory Sciences, Arab American University"		Al-Jawabreh et al																	
Palestine/AAS46/2021	EPI_ISL_873165	"Medical Laboratory Sciences, Arab American University"		Dumaidi et al																	
Palestine/AAS45/2021	EPI_ISL_873164	"Medical Laboratory Sciences, Arab American University"		Dumaidi et al																	
Israel/CVL-3884/2021	EPI_ISL_1209534	Israel National Consortium for SARS-CoV-2 sequencing		Neta Zuckerman et al																	
Israel/CVL-2299/2021	EPI_ISL_1210287	Israel National Consortium for SARS-CoV-2 sequencing		Neta Zuckerman et al																	
Israel/CVL-1302/2020	EPI_ISL_1210017	Israel National Consortium for SARS-CoV-2 sequencing		Neta Zuckerman et al																	
Israel/CVL-1174/2020	EPI_ISL_1210086	Israel National Consortium for SARS-CoV-2 sequencing		Neta Zuckerman et al																	
NorthMacedonia/9133/2020	EPI_ISL_677723	"Research Center for Genetic Engineering and Biotechnology ""Georgi D. Efremov” , Macedonian Academy of Sciences and Arts"		RCGEB - MASA et al																	
Turkey/Ankara_GUMV_25210/2020	EPI_ISL_730568	"Gazi University Faculty of Medicine, Medical Virology Laboratory"		Erdem Şahin et al																	
Turkey/DEN-PAU12/2020	EPI_ISL_708190	Pamukkale University Department of Medical Genetics		Onur TOKGUN et al. et al																	
Turkey/DEN-PAU14/2020	EPI_ISL_708195	Pamukkale University Department of Medical Genetics		Onur TOKGUN et al. et al																	
Luxembourg/LNS9338692/2020	EPI_ISL_744886	"Laboratoire national de santé, Microbiology, Microbial Genomics Platform"		Anke Wienecke-Baldacchino et al																	
Hungary/SRC-00126/2020	EPI_ISL_435405	"Bioinformatics Research Group, Szentágothai Research Centre"		Péter Urbán et al																	
Hungary/SRC-00055/2020	EPI_ISL_435419	"Bioinformatics Research Group, Szentágothai Research Centre"		Péter Urbán et al																	
NorthMacedonia/ChVir7911/2020	EPI_ISL_492081	"Charite Universitatsmedizin Berlin, Institute of Virology"		Victor M Corman et al A																	
NorthMacedonia/ChVir7905/2020	EPI_ISL_492077	"Charite Universitatsmedizin Berlin, Institute of Virology"		Victor M Corman et al A																	
Turkey/HSGM-AD14/2020	EPI_ISL_812895	Ministry of Health Turkey		Fatma Bayrakdar et al A																	
NorthMacedonia/7245/2020	EPI_ISL_516430	"Research Center for Genetic Engineering and Biotechnology ""Georgi D. Efremov” , Macedonian Academy of Sciences and Arts"		RCGEB - MASA et al			Shtip														
NorthMacedonia/7813/2020	EPI_ISL_677717	"Research Center for Genetic Engineering and Biotechnology ""Georgi D. Efremov” , Macedonian Academy of Sciences and Arts"		RCGEB - MASA et al			Shtip														
Turkey/DEN-PAU10/2020	EPI_ISL_708188	Pamukkale University Department of Medical Genetics		Onur TOKGUN et al. et al																	
Turkey/DEN-PAU04/2020	EPI_ISL_708185	Pamukkale University Department of Medical Genetics		Onur TOKGUN et al. et al																	
Turkey/DEN-PAU01/2020	EPI_ISL_707938	Pamukkale University Department of Medical Genetics		Onur TOKGUN et al. et al																	
Turkey/DEN-PAU07/2020	EPI_ISL_707937	Pamukkale University Department of Medical Genetics		Onur TOKGUN et al. et al																	
Turkey/DEN-PAU11/2020	EPI_ISL_708189	Pamukkale University Department of Medical Genetics		Onur TOKGUN et al. et al																	
Turkey/DEN-PAU19/2020	EPI_ISL_708194	Pamukkale University Department of Medical Genetics		Onur TOKGUN et al. et al																	
Japan/PG-6061/2020	EPI_ISL_689173	"Pathogen Genomics Center, National Institute of Infectious Diseases"		Tsuyoshi Sekizuka et al B																	
Thailand/Chonburi-SQ-NT0031/2020	EPI_ISL_708800	"National Institute of Health, Department of Medical Sciences, Ministry of Public Health, Thailand"		Pilailuk Okada et al																	
Cambodia/171609/2020	EPI_ISL_933785	"Virology Unit, Institut Pasteur du Cambodge"		Sokhoun Yann et al																	
Japan/PG-11150/2020	EPI_ISL_898058	"Pathogen Genomics Center, National Institute of Infectious Diseases"		Tsuyoshi Sekizuka et al B																	
Japan/PG-10046/2020	EPI_ISL_900783	"Pathogen Genomics Center, National Institute of Infectious Diseases"		Tsuyoshi Sekizuka et al B																	
Japan/PG-8641/2020	EPI_ISL_686237	"Pathogen Genomics Center, National Institute of Infectious Diseases"		Tsuyoshi Sekizuka et al B																	
Japan/PG-5911/2020	EPI_ISL_689026	"Pathogen Genomics Center, National Institute of Infectious Diseases"		Tsuyoshi Sekizuka et al B																	
Japan/PG-8675/2020	EPI_ISL_686271	"Pathogen Genomics Center, National Institute of Infectious Diseases"		Tsuyoshi Sekizuka et al B																	
Japan/PG-10970/2020	EPI_ISL_901629	"Pathogen Genomics Center, National Institute of Infectious Diseases"		Tsuyoshi Sekizuka et al B																	
Japan/PG-8456/2020	EPI_ISL_687555	"Pathogen Genomics Center, National Institute of Infectious Diseases"		Tsuyoshi Sekizuka et al B																	
Japan/PG-8458/2020	EPI_ISL_687557	"Pathogen Genomics Center, National Institute of Infectious Diseases"		Tsuyoshi Sekizuka et al B																	
Japan/PG-11325/2020	EPI_ISL_898189	"Pathogen Genomics Center, National Institute of Infectious Diseases"		Tsuyoshi Sekizuka et al B																	
Japan/PG-18847/2020	EPI_ISL_1127689	"Pathogen Genomics Center, National Institute of Infectious Diseases"		Tsuyoshi Sekizuka et al B																	
Japan/PG-11205/2020	EPI_ISL_893490	"Department of Infectious Diseases, Kobe Institute of Health"		Ryohei Nomoto et al																	
Japan/PG-18848/2020	EPI_ISL_1127690	"Pathogen Genomics Center, National Institute of Infectious Diseases"		Tsuyoshi Sekizuka et al B																	
Japan/PG-11920/2020	EPI_ISL_898751	"Pathogen Genomics Center, National Institute of Infectious Diseases"		Tsuyoshi Sekizuka et al B																	
Japan/PG-11954/2020	EPI_ISL_898785	"Pathogen Genomics Center, National Institute of Infectious Diseases"		Tsuyoshi Sekizuka et al B																	
Japan/PG-11921/2020	EPI_ISL_898752	"Pathogen Genomics Center, National Institute of Infectious Diseases"		Tsuyoshi Sekizuka et al B																	
Senegal/64932/2020	EPI_ISL_476569	Institut Pasteur de Dakar		Ndongo Dia et al																	
Senegal/9439/2020	EPI_ISL_486861	Institut Pasteur de Dakar		Ndongo Dia et al																	
Senegal/83493/2020	EPI_ISL_498252	Institut Pasteur de Dakar		Ndongo Dia et al																	
Japan/PG-2555/2020	EPI_ISL_690690	"Pathogen Genomics Center, National Institute of Infectious Diseases"		Tsuyoshi Sekizuka et al B																	
Japan/PG-2556/2020	EPI_ISL_690691	"Pathogen Genomics Center, National Institute of Infectious Diseases"		Tsuyoshi Sekizuka et al B																	
Japan/PG-2566/2020	EPI_ISL_690701	"Pathogen Genomics Center, National Institute of Infectious Diseases"		Tsuyoshi Sekizuka et al B																	
Japan/PG-2564/2020	EPI_ISL_690699	"Pathogen Genomics Center, National Institute of Infectious Diseases"		Tsuyoshi Sekizuka et al B																	
NorthMacedonia/2604/2020	EPI_ISL_677701	"Research Center for Genetic Engineering and Biotechnology ""Georgi D. Efremov” , Macedonian Academy of Sciences and Arts"		RCGEB - MASA et al																	
Turkey/DEN-PAU08/2020	EPI_ISL_708186	Pamukkale University Department of Medical Genetics		Onur TOKGUN et al. et al																	
Turkey/DEN-PAU15/2020	EPI_ISL_708192	Pamukkale University Department of Medical Genetics		Onur TOKGUN et al. et al																	
NorthMacedonia/2979/2020	EPI_ISL_516419	"Research Center for Genetic Engineering and Biotechnology ""Georgi D. Efremov” , Macedonian Academy of Sciences and Arts"		RCGEB - MASA et al																	
NorthMacedonia/12026/2020	EPI_ISL_678260	"Research Center for Genetic Engineering and Biotechnology ""Georgi D. Efremov” , Macedonian Academy of Sciences and Arts"		RCGEB - MASA et al			Struga														
NorthMacedonia/16076/2020	EPI_ISL_918486	"Research Center for Genetic Engineering and Biotechnology ""Georgi D. Efremov” , Macedonian Academy of Sciences and Arts"		RCGEB - MASA et al			Struga														
Switzerland/ZH-ETHZ-180041/2020	EPI_ISL_489979	"Department of Biosystems Science and Engineering, ETH Zürich"		Christian Beisel et al																	
Switzerland/ZH-ETHZ-180042/2020	EPI_ISL_489980	"Department of Biosystems Science and Engineering, ETH Zürich"		Christian Beisel et al																	
NorthMacedonia/11638/2020	EPI_ISL_678256	"Research Center for Genetic Engineering and Biotechnology ""Georgi D. Efremov” , Macedonian Academy of Sciences and Arts"		RCGEB - MASA et al			Ohrid														
NorthMacedonia/9073/2020	EPI_ISL_677722	"Research Center for Genetic Engineering and Biotechnology ""Georgi D. Efremov” , Macedonian Academy of Sciences and Arts"		RCGEB - MASA et al			Ohrid														
NorthMacedonia/11567/2020	EPI_ISL_678253	"Research Center for Genetic Engineering and Biotechnology ""Georgi D. Efremov” , Macedonian Academy of Sciences and Arts"		RCGEB - MASA et al																	
Netherlands/ZH-EMC-499/2020	EPI_ISL_577928	Erasmus Medical Center		Bas Oude Munnink et al																	
Netherlands/ZH-EMC-663/2020	EPI_ISL_632504	Erasmus Medical Center		Bas Oude Munnink et al																	
Netherlands/ZH-EMC-712/2020	EPI_ISL_632559	Erasmus Medical Center		Bas Oude Munnink et al																	
Netherlands/ZH-EMC-715/2020	EPI_ISL_632562	Erasmus Medical Center		Bas Oude Munnink et al																	
Bahrain/02/2020	EPI_ISL_486887	"National Influenza Center, Bahrain"		Zaed et al																	
Bahrain/090000572_S16_L001/2020	EPI_ISL_632285	"Communicable Disease Laboratory, Public Health Directorate"		AlWasti et al																	
Mozambique/INS-K007945/2020	EPI_ISL_887420	"KRISP, KZN Research Innovation and Sequencing Platform"		Nalia Ismael et al																	
Mozambique/INS-K007972/2020	EPI_ISL_887503	"KRISP, KZN Research Innovation and Sequencing Platform"		Nalia Ismael et al																	
Mozambique/INS-K007969/2020	EPI_ISL_887426	"KRISP, KZN Research Innovation and Sequencing Platform"		Nalia Ismael et al																	
Mozambique/INS-K007950/2020	EPI_ISL_887501	"KRISP, KZN Research Innovation and Sequencing Platform"		Nalia Ismael et al																	
Zambia/ZMB-42552/2020	EPI_ISL_977285	UNZAVET and PATH		Mulenga Mwenda-Chimfwembe et al																	
Zambia/ZMB-41650/2020	EPI_ISL_977332	UNZAVET and PATH		Mulenga Mwenda-Chimfwembe et al																	
