strain	gisaid_epi_isl	submitting_lab	url	author	accession	country_exposure	location											
Georgia/Tb/2020	EPI_ISL_416482	"R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia."		Adam Kotorashvili et al														
Portugal/PT0256/2020	EPI_ISL_453970	Instituto Nacional de Saude (INSA)		Borges et al et al														
NewZealand/20VR3128/2020	EPI_ISL_579426	Institute of Environmental Science and Research (ESR)		Xiaoyun Ren et al														
NewZealand/20VR3476/2020	EPI_ISL_579496	Institute of Environmental Science and Research (ESR)		Xiaoyun Ren et al														
Italy/LOM-UniMI-L289/2020	EPI_ISL_542253	Dep. Of Oncology and Hemato-Oncology University of Milan		Claudia Alteri et al														
Finland/16A68S5/2020	EPI_ISL_1219688	"Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland"		Teemu Smura et al A														
Finland/5A57S2/2020	EPI_ISL_481690	"Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland"		Teemu Smura et al A														
Finland/4A60S1/2020	EPI_ISL_481670	"Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland"		Teemu Smura et al A														
Finland/5May56S6/2020	EPI_ISL_481704	"Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland"		Teemu Smura et al A														
Finland/21A39S11/2020	EPI_ISL_481610	"Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland"		Teemu Smura et al A														
Finland/10A53S14/2020	EPI_ISL_481526	"Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland"		Teemu Smura et al A														
env/Netherlands/NH-92852-N1/2020	EPI_ISL_539308	Erasmus Medical Center		Ray Izquierdo-Lara et al			Amsterdam West											
env/Austria/CeMM1470/2020	EPI_ISL_854224	"Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences"		Lukas Endler et al														
Finland/10A63S14/2020	EPI_ISL_481529	"Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland"		Teemu Smura et al A														
Finland/10A74S14/2020	EPI_ISL_1184544	"Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland"		Teemu Smura et al A														
Finland/10A65S14/2020	EPI_ISL_1184542	"Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland"		Teemu Smura et al A														
Finland/10A70S14/2020	EPI_ISL_1184543	"Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland"		Teemu Smura et al A														
Netherlands/Zeewolde_1365080/2020	EPI_ISL_413591	Erasmus Medical Center		David Nieuwenhuijse et al A (https://dx.doi.org/10.1038/s41591-020-0997-y)			Zeewolde											
Ireland/LK-NVRL-19933/2020	EPI_ISL_414585	UCD National Virus Reference Laboratory		Michael Carr et al														
Senegal/600/2020	EPI_ISL_420074	Institut Pasteur de Dakar		Ndongo Dia et al														
Luxembourg/LNS5358505/2020	EPI_ISL_429735	"Laboratoire National de Sante, Microbiology, Epidemiology and Microbial Genomics"		Anke Wienecke-Baldacchino et al														
Mozambique/INS-K007885/2020	EPI_ISL_887460	"KRISP, KZN Research Innovation and Sequencing Platform"		Nalia Ismael et al														
CostaRica/CRV-0024/2020	EPI_ISL_480328	Charité Virology-University of Costa Rica		Andres Moreira-Soto et al														
Finland/17A87S10/2020	EPI_ISL_481590	"Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland"		Teemu Smura et al A														
Finland/6A959SIIC/2020	EPI_ISL_481711	"Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland"		Teemu Smura et al A														
Georgia/Tb-477/2020	EPI_ISL_415642	"R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia."		Nato Kotaria et al														
Iceland/93/2020	EPI_ISL_417730	deCODE genetics		Daniel F Gudbjartsson et al B (https://dx.doi.org/10.1056/NEJMoa2006100)		Italy												
CzechRepublic/NRL-5593/2020	EPI_ISL_584079	State Veterinary Institute Prague		Nagy et al			Pisek											
SierraLeone/KGH-G-8627/2020	EPI_ISL_512818	"Kenema Government Hospital, Ministry of Health and Sanitation"		Goba et al														
Ecuador/178767/2020	EPI_ISL_940769	INSPI-Centro de Investigación Multidisciplinaria de la DTIDI		Leandro Patiño et al														
Germany/TH-IIMK-CaSe-5/2020	EPI_ISL_728294	"Institute of infectious medicine & hospital hygiene, CaSe-Group"		Spott et al														
Argentina/PAIS-G0011/2020	EPI_ISL_792535	Instituto de Patologia Vegetal (CIAP-INTA) on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)		Fernández et al														
Malaysia/UNIMAS-0803/2020	EPI_ISL_718136	Institute of Health and Community Medicine		David Perera et al														
France/ARA-SC410/2020	EPI_ISL_660369	CNR Virus des Infections Respiratoires - France SUD		Antonin Bal et al			Clermont-Ferrand											
Ecuador/USFQ-004/2020	EPI_ISL_477014	"Institute of Microbiology, Universidad San Francisco de Quito"		Belen Prado-Vivar et al														
Ecuador/USFQ-110/2020	EPI_ISL_486845	"Institute of Microbiology, Universidad San Francisco de Quito"		Belén Prado-Vivar et al														
Ecuador/USFQ-1112/2020	EPI_ISL_486847	"Institute of Microbiology, Universidad San Francisco de Quito"		Belén Prado-Vivar et al														
Ecuador/USFQ-020/2020	EPI_ISL_471267	"Institute of Microbiology, Universidad San Francisco de Quito"		Sully Márquez et al														
Ecuador/USFQ-039/2020	EPI_ISL_481245	"Institute of Microbiology, Universidad San Francisco de Quito"		Belén Prado-Vivar et al														
Croatia/1560_Split/2020	EPI_ISL_454583	"University of Zagreb, Centre for research and knowledge transfer in biotechnology"		Ivan-Christian Kurolt et al														
Egypt/MASRI-007/2020	EPI_ISL_482760	"Medical Ain Shams Research Institute (MASRI), Ain Shams University"		Hesham Elghazaly et al														
Egypt/MASRI-005/2020	EPI_ISL_482759	"Medical Ain Shams Research Institute (MASRI), Ain Shams University"		Hesham Elghazaly et al														
Oman/RESP-20-3343/2020	EPI_ISL_457985	Oman-NIC		Samira Al-Maruqi et al														
Uruguay/UY-NYUMC871/2020	EPI_ISL_457967	"Departments of Pathology and Medicine, New York University School of Medicine"		Maria Victoria Elizondo et al														
Uruguay/UY-NYUMC934/2020	EPI_ISL_480432	"Departments of Pathology and Medicine, New York University School of Medicine"		Maria Victoria Elizondo et al														
Uruguay/UY-NYUMC872/2020	EPI_ISL_457968	"Departments of Pathology and Medicine, New York University School of Medicine"		Maria Victoria Elizondo et al														
Uruguay/UY-272/2020	EPI_ISL_480335	"Microbial Genomics Laboratory, Institut Pasteur de Montevideo"		Cecilia Salazar et al A														
Uruguay/UY-242/2020	EPI_ISL_480334	"Microbial Genomics Laboratory, Institut Pasteur de Montevideo"		Cecilia Salazar et al A														
Uruguay/UY-162/2020	EPI_ISL_480332	"Microbial Genomics Laboratory, Institut Pasteur de Montevideo"		Cecilia Salazar et al A														
Oman/RESP-20-4395/2020	EPI_ISL_518822	"Biotechnology & OMICs Laboratory, Natural & Medical Sciences Research Center, University of Nizwa"		Samira Al-Mahruqi et al														
Uruguay/UY-NYUMC858/2020	EPI_ISL_457954	"Departments of Pathology and Medicine, New York University School of Medicine"		Maria Victoria Elizondo et al														
Uruguay/UY-NYUMC937/2020	EPI_ISL_480435	"Departments of Pathology and Medicine, New York University School of Medicine"		Maria Victoria Elizondo et al														
Uruguay/UY-NYUMC936/2020	EPI_ISL_480434	"Departments of Pathology and Medicine, New York University School of Medicine"		Maria Victoria Elizondo et al														
Uruguay/UY-NYUMC938/2020	EPI_ISL_480436	"Departments of Pathology and Medicine, New York University School of Medicine"		Maria Victoria Elizondo et al														
Uruguay/UY-NYUMC939/2020	EPI_ISL_480437	"Departments of Pathology and Medicine, New York University School of Medicine"		Maria Victoria Elizondo et al														
Egypt/MASRI-008/2020	EPI_ISL_482761	"Medical Ain Shams Research Institute (MASRI), Ain Shams University"		Hesham Elghazaly et al														
Uruguay/UY-NYUMC931/2020	EPI_ISL_480429	"Departments of Pathology and Medicine, New York University School of Medicine"		Maria Victoria Elizondo et al														
Brazil/AM-20890140CD/2020	EPI_ISL_1068180	"Laboratorio de Ecologia de Doencas Transmissiveis na Amazonia, Instituto Leonidas e Maria Deane - Fiocruz Amazonia"		Valdinete Nascimento et al														
Egypt/MASRI-013/2020	EPI_ISL_482764	"Medical Ain Shams Research Institute (MASRI), Ain Shams University"		Hesham Elghazaly et al														
Egypt/MASRI-012/2020	EPI_ISL_482763	"Medical Ain Shams Research Institute (MASRI), Ain Shams University"		Hesham Elghazaly et al														
Italy/LOM-UniMI03/2020	EPI_ISL_417447	"Laboratory of Infectious Diseases, Department of Biomedical and Clinical Sciences L. Sacco, University of Milan"		Gianguglielmo Zehender et al (https://onlinelibrary.wiley.com/doi/abs/10.1002/jmv.25794)			Milan											
Italy/LOM-INMI-7070/2020	EPI_ISL_460086	"Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS"		Maria R. Capobianchi et al C														
France/IDF_HB_112002096647/2020	EPI_ISL_940533	"IAME UMR1137 Inserm, Université de Paris, Hôpital Bichat"		Antoine Bridier-Nahmias et al														
Italy/LOM-UniMI-L267/2020	EPI_ISL_542233	Dep. Of Oncology and Hemato-Oncology University of Milan		Claudia Alteri et al														
Italy/LOM-INMI-9206/2020	EPI_ISL_460087	"Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS"		Cesare E.M. Gruber et al B														
Italy/LOM-ASST-8/2020	EPI_ISL_486664	"Microbiology, Virology and Biemergency Laboratory-ASST FBF Sacco"		Rimoldi SG et al														
Denmark/SSI-02/2020	EPI_ISL_416143	ViFU		Morten Rasmussen et al														
Kenya/C28591/2020	EPI_ISL_806551	KEMRI-Wellcome Trust Research Programme/KEMRI-CGMR-C Kilifi		Githinji et al et al														
Poland/PL_P18/2020	EPI_ISL_451979	"1. ViroGenetics - BSL3 Laboratory of Virology, Małopolska Centre of Biotechnology, Jagiellonian University; 2. II Department of Internal Medicine, Faculty of Medicine, Jagiellonian University Medical College."		Marek Sanak et al			Kraków											
Poland/PL_P11/2020	EPI_ISL_451972	"1. ViroGenetics - BSL3 Laboratory of Virology, Małopolska Centre of Biotechnology, Jagiellonian University; 2. II Department of Internal Medicine, Faculty of Medicine, Jagiellonian University Medical College."		Marek Sanak et al			Kraków											
Poland/PL_P17/2020	EPI_ISL_451978	"1. ViroGenetics - BSL3 Laboratory of Virology, Małopolska Centre of Biotechnology, Jagiellonian University; 2. II Department of Internal Medicine, Faculty of Medicine, Jagiellonian University Medical College."		Marek Sanak et al			Kraków											
Sweden/20-08117/2020	EPI_ISL_455847	The Public Health Agency of Sweden		Anna-Malin Linde et al														
Netherlands/Leiden-0002/2020	EPI_ISL_454416	"Department of Medical Microbiology, Leiden University Medical Center"		Snijder et al														
Switzerland/GR-ETHZ-100026/2020	EPI_ISL_466950	"Department of Biosystems Science and Engineering, ETH Zürich"		Christian Beisel et al														
Slovenia/5070/2020	EPI_ISL_635213	"Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana"		Samo Zakotnik et al														
Denmark/DCGC-1734/2020	EPI_ISL_619979	"Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark"		Danish Covid-19 Genome Consortia et al														
Finland/10MS2B3/2020	EPI_ISL_1184552	"Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland"		Teemu Smura et al A														
Spain/MD-IBV-005280/2020	EPI_ISL_510166	SeqCOVID-SPAIN consortium/IBV(CSIC)		Laura Pérez-Lago et al														
Denmark/DCGC-12023/2020	EPI_ISL_671269	"Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark"		Danish Covid-19 Genome Consortium et al														
Kenya/C26/2020	EPI_ISL_457846	KEMRI-Wellcome Trust Research Programme/KEMRI-CGMR-C Kilifi		Githinji G. et al 2020 et al (https://virological.org/t/introduction-and-local-transmission-of-sars-cov-2-cases-in-kenya/497)														
BosniaandHerzegovina/ChVir7365/2020	EPI_ISL_462467	"Charite Universitatsmedizin Berlin, Institute of Virology"		Victor M Corman et al A														
BosniaandHerzegovina/ChVir7344/2020	EPI_ISL_462452	"Charite Universitatsmedizin Berlin, Institute of Virology"		Victor M Corman et al A														
BosniaandHerzegovina/ChVir7354/2020	EPI_ISL_462460	"Charite Universitatsmedizin Berlin, Institute of Virology"		Victor M Corman et al A														
BosniaandHerzegovina/ChVir7347/2020	EPI_ISL_462454	"Charite Universitatsmedizin Berlin, Institute of Virology"		Victor M Corman et al A														
BosniaandHerzegovina/ChVir7346/2020	EPI_ISL_462453	"Charite Universitatsmedizin Berlin, Institute of Virology"		Victor M Corman et al A														
Brazil/RS-FIOCRUZ-2525/2020	EPI_ISL_729804	"Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ"		Paola Resende et al A														
Netherlands/Gelderland_6/2020	EPI_ISL_422642	Erasmus Medical Center		Bas Oude Munnink et al														
Italy/VEN-UniVR-47/2020	EPI_ISL_751357	"University of Verona, Department of Biotechnology"		Antonio Mori et al			Verona IT											
Italy/VEN-UniVR-48/2020	EPI_ISL_751358	"University of Verona, Department of Biotechnology"		Antonio Mori et al			Verona IT											
Moldova/ChVir7777/2020	EPI_ISL_523966	"Charite Universitatsmedizin Berlin, Institute of Virology"		Victor M Corman et al A		Italy												
Spain/VC-IBV-98003084/2020	EPI_ISL_538020	SeqCOVID-SPAIN consortium/IBV(CSIC)		María Dolores Gómez Ruiz et al			Valencia ES											
Germany/BE-ChVir-D671-8/2020	EPI_ISL_516636	"Charité Universitätsmedizin Berlin, Institut für Virologie/Labor Berlin"		Victor M Corman et al A														
Germany/BE-ChVir-D666-2/2020	EPI_ISL_516630	"Charité Universitätsmedizin Berlin, Institut für Virologie/Labor Berlin"		Victor M Corman et al A														
Panama/329198/2020	EPI_ISL_496626	Gorgas Memorial Laboratory of Health Studies		Danilo Franco et al (https://www.medrxiv.org/content/10.1101/2020.07.31.20160929v1)		Europe												
Panama/328844/2020	EPI_ISL_496613	Gorgas Memorial Laboratory of Health Studies		Danilo Franco et al (https://www.medrxiv.org/content/10.1101/2020.07.31.20160929v1)		Europe												
Iceland/261/2020	EPI_ISL_417589	deCODE genetics		Daniel F Gudbjartsson et al B (https://dx.doi.org/10.1056/NEJMoa2006100)		Spain												
Ghana/UHAS-W247/2020	EPI_ISL_861459	UHAS COVID-19 Lab		Kwabena O. Duedu et al														
Kenya/C65909/2020	EPI_ISL_968972	KEMRI-Wellcome Trust Research Programme/KEMRI-CGMR-C Kilifi		Githinji et al et al														
Luxembourg/LNS0211710/2020	EPI_ISL_429760	"Laboratoire National de Sante, Microbiology, Epidemiology and Microbial Genomics"		Anke Wienecke-Baldacchino et al														
CzechRepublic/NRL-10598/2020	EPI_ISL_693680	State Veterinary Institute Prague		Nagy et al														
Ukraine/203100351/2020	EPI_ISL_512630	"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"		PHE Covid Sequencing Team et al														
Ukraine/203100352/2020	EPI_ISL_512631	"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"		PHE Covid Sequencing Team et al														
Ukraine/203100353/2020	EPI_ISL_512632	"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"		PHE Covid Sequencing Team et al														
Ukraine/203100350/2020	EPI_ISL_512629	"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"		PHE Covid Sequencing Team et al														
CzechRepublic/NRL-7322-2/2020	EPI_ISL_584075	State Veterinary Institute Prague		Nagy et al		Ukraine	Liberec											
